Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_theoretical,stochasticity
1,0,0.4363778775643057,0.3581912551709369,0.7945691327352427,0.9999312533430812,1.0000526181847733,1.0000526181847733,79.87298766423197,0.0004
1,1,0.8760353640958639,1.3043205141243712,2.1803558782202352,0.9937199675333944,0.9997320705520139,0.9997320705520139,212.4016312915167,0.0004
1,2,0.5795129027289319,0.7829120911692896,1.3624249938982214,1.0000132348519237,1.0000499032208983,1.0000499032208983,136.91893628616347,0.0004
1,3,0.3148777144897768,0.3560752799071579,0.6709529943969348,0.9998780392902757,0.9999547625771578,0.9999547625771578,66.79615254579542,0.0004
2,0,0.4006353395388267,0.3218699267664147,0.7225052663052414,1.0002696086096274,0.9998663854309768,1.0002696086096274,74.23186815612245,0.0004
2,1,0.807987112991677,1.258747401648519,2.066734514640196,0.9961629168152818,0.9997462737763708,0.9997462737763708,201.60924966106364,0.0004
2,2,0.3619668589112479,0.29711345000445044,0.6590803089156984,0.9998329668796456,0.9996560388003382,0.9998329668796456,64.8358865872564,0.0004
2,3,0.6346520592337599,0.8436900149231825,1.4783420741569424,1.0001174621387126,1.0000117425026793,1.0001174621387126,149.57356122493067,0.0004
3,0,2.890015867981362,0.00015849410470346968,2.890174362086065,1.0001111637507878,1.0000134861513537,1.0001111637507878,292.23352794071667,0.0004
3,1,0.6475612962817197,0.0003734525257541412,0.6479347488074738,0.9999770000533914,1.000177980140953,1.000177980140953,65.95561505754026,0.0004
3,2,1.6712292736405754,4.434238803373703e-06,1.6712337078793789,1.0000223811349016,0.9996133875877496,1.0000223811349016,167.49449375708315,0.0004
3,3,0.7282243671207894,0.0009087743772368149,0.7291331414980262,1.0000426554519246,0.9999315586021108,1.0000426554519246,73.22252479855042,0.0004
4,0,0.0006980228944166433,1.5037359670858197,1.5044339899802364,1.0002306387921533,1.000068677819383,1.0002306387921533,153.95877676311457,0.0004
4,1,0.0001803391738508095,0.2946368345256866,0.2948171736995374,1.0000067228520853,1.0000284825473218,1.0000284825473218,29.565084171944775,0.0004
4,2,0.0025621529822486664,0.42491385708063256,0.4274760100628812,1.0000477602440836,1.0000317618237267,1.0000477602440836,42.95068318241072,0.0004
4,3,1.3471872842082687e-05,1.6303157012795197,1.630329173152362,0.9995011095353472,1.0000146233107028,1.0000146233107028,163.26928352389336,0.0004
