Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_theoretical,stochasticity
1,0,0.45890709440847893,0.30558529737040635,0.7644923917788853,1.0000155521336667,0.9999743355730724,1.0000155521336667,76.56712661445869,8e-05
1,1,0.9801325059123864,1.12947286907997,2.1096053749923565,0.9872154984591823,0.9989989852521587,0.9989989852521587,191.93926776472205,8e-05
1,2,0.5153541190250094,0.7291291648832473,1.2444832839082567,1.0000131644669903,0.9999908495698672,1.0000131644669903,124.61073134290561,8e-05
1,3,0.2655069345962326,0.399524283224552,0.6650312178207847,0.9999532709942212,0.9999690174713025,0.9999690174713025,66.29976248698338,8e-05
2,0,0.4793845645820287,0.19247796909035778,0.6718625336723865,0.9999678947150916,0.9999848749931866,0.9999848749931866,67.08580072113234,8e-05
2,1,1.1373149203518884,1.0226157350858487,2.159930655437737,0.9997953780213266,0.9999255107230303,0.9999255107230303,214.41189820395215,8e-05
2,2,0.2935398250700443,0.19413303908917273,0.487672864159217,1.0000261016077816,0.9997610576042152,1.0000261016077816,48.893630450059014,8e-05
2,3,0.5845355167306754,0.5708700283156788,1.1554055450463543,1.000029460390748,1.0000087869436283,1.000029460390748,115.87852333573592,8e-05
3,0,2.8731789942814183,0.00010474953820583446,2.8732837438196244,1.000003537020605,0.999937636613986,1.000003537020605,287.4290219769104,8e-05
3,1,0.5517465159016851,0.0001435065633411957,0.5518900224650263,0.9999939396078408,1.0000006151088454,1.0000006151088454,55.19236322827407,8e-05
3,2,1.6014639794793828,2.753645894554169e-06,1.6014667331252774,1.0000067144919957,0.9997859306545299,1.0000067144919957,160.25319917602036,8e-05
3,3,0.6817474235487788,0.0008430748654078308,0.6825904984141866,0.9999770502814288,1.0000316985403972,1.0000316985403972,68.47393168670177,8e-05
4,0,0.0005941088527057997,2.0291917365854544,2.0297858454381603,1.0000033656924847,1.0000095841777048,1.0000095841777048,203.1713603556107,8e-05
4,1,0.00025870589545558384,0.42695850777128946,0.42721721366674503,1.0000114818439856,1.0000021922698314,1.0000114818439856,42.770338519729734,8e-05
4,2,0.0029432848276531426,0.4161069568598001,0.41905024168745325,1.0000188051547485,1.0000016988209295,1.0000188051547485,41.98318469696653,8e-05
4,3,1.1363311413049185e-05,1.384050360935838,1.3840617242472513,0.9998629991432108,1.000020156721999,1.000020156721999,138.68291633078394,8e-05
