Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_theoretical,stochasticity
1,0,0.5953467906845032,0.33335087409981917,0.9286976647843224,1.0,1.0,1.0,92.86976647843215,0.003
1,1,1.2317276994582234,1.2019007971226214,2.4336284965808446,1.0,1.0,1.0,243.36284965808423,0.003
1,2,0.6951591443653868,0.7335947607444235,1.4287539051098104,1.0,1.0,1.0,142.8753905109809,0.003
1,3,0.4016364244338789,0.35189651551406365,0.7535329399479426,1.0,1.0,1.0,75.35329399479419,0.003
2,0,0.3144518950778802,0.2908290147671859,0.6052809098450661,1.0,1.0,1.0,60.528090984506555,0.003
2,1,1.370344062408816,0.9582255349804657,2.3285695973892815,1.0,1.0,1.0,232.85695973892794,0.003
2,2,0.25986926562211105,0.33988902458018405,0.5997582902022951,0.99999998683322,0.9999999867257999,0.99999998683322,59.97575084116524,0.003
2,3,0.6849489053405697,0.6979125547768287,1.3828614601173985,1.000000009892847,1.0000000112744072,1.0000000112744072,138.28630036225002,0.003
3,0,2.6031795640703383,0.00013324834225679068,2.6033128124125953,1.002736751224732,1.0006179415613963,1.002736751224732,357.07719481419025,0.003
3,1,0.39683426237213654,0.00010449415635855741,0.3969387565284951,1.0008510963870199,1.000370205598545,1.0008510963870199,43.346159901064475,0.003
3,2,1.5862011202411668,4.519117834999445e-06,1.5862056393590018,1.0014330784829961,1.0008773178786992,1.0014330784829961,184.84547284783,0.003
3,3,0.6591864800177402,0.0006197253381227457,0.6598062053558629,1.0008687934832228,1.000553737947439,1.0008687934832228,72.18969637441239,0.003
4,0,0.0004482729751640244,2.0082325791605538,2.0086808521357176,1.0025268470120827,1.0015180683484677,1.0025268470120827,267.8804950317185,0.003
4,1,0.0004409221028973809,0.4888370026374112,0.48927792474030857,1.0010484026039084,1.000870844357176,1.0010484026039084,54.594228917860356,0.003
4,2,0.0022801737506727674,0.4396407020249273,0.4419208757756,1.002551198565606,1.000724066238506,1.002551198565606,59.12528026857039,0.003
4,3,7.5031479630737146e-06,1.3458820661348854,1.3458895692828485,1.0010197634321893,1.0013429695250542,1.0013429695250542,155.22700558722133,0.003
