Tile,Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_empirical,Lq_theoretical,lr_source,stochasticity
0,3,0,4.494460902050236,0.0,4.494460902050236,1.0073479231572968,1.00090526606071,1.0073479231572968,32.39917605263452,351.156223469145,tile,0.002
0,3,1,2.7017806717139394,0.0,2.7017806717139394,0.9990018349184422,0.9997457840641931,0.9997457840641931,30.243065192131688,133.42698950277813,tile,0.002
0,3,2,4.588122899110224,0.0,4.588122899110224,1.008287242170904,1.001221109088901,1.008287242170904,37.52932801795852,386.2543138308809,tile,0.002
0,3,3,2.704581034808385,0.0,2.704581034808385,0.9996901439629208,1.0006457587376707,1.0006457587376707,31.441485443023566,139.64781270779946,tile,0.002
1,5,0,0.5544510448515217,0.0006862243608024003,0.5551372692123241,1.0000000028233764,1.0000000019115642,1.0000000028233764,39.30694909572268,27.75686730065237,tile,0.002
1,5,1,0.3995928658917072,0.00020016681781129787,0.39979303270951855,1.0000000434705805,1.0000000474263506,1.0000000474263506,41.79960322619357,19.98969808935898,tile,0.002
1,5,2,1.3535453952198495,1.670600452950264e-05,1.353562101224379,1.0,0.9999999719761933,1.0,47.55765526775453,67.67810506121889,tile,0.002
1,5,3,0.2313873390923752,0.0028853054002989684,0.23427264449267415,1.000000021029834,1.0,1.000000021029834,33.90098013569531,11.713644295097518,tile,0.002
2,1,0,0.0014025248594601205,0.5990735280403291,0.6004760528997892,1.000517253133984,1.000791719071993,1.000791719071993,35.13161287175668,31.23556237746418,tile,0.002
2,1,1,0.00025394824118243485,0.3806737226964198,0.3809276709376022,1.0002215572969673,1.0004053927038334,1.0004053927038334,41.73567057725543,19.432393319905746,tile,0.002
2,1,2,0.005905424094016592,0.21279359038445717,0.21869901447847376,1.000831816596155,1.0004063654746016,1.000831816596155,34.38806541637813,11.399586625811857,tile,0.002
2,1,3,4.943879225797824e-05,1.4742005885609073,1.4742500273531653,1.0000179538590706,1.0035566179617934,1.0035566179617934,43.78395533342574,89.26995925362952,tile,0.002
3,5,0,0.0,4.626345457328136,4.626345457328136,1.0000000028233764,1.0000000019115642,1.0000000028233764,34.614904801168905,231.31730486810235,tile,0.002
3,5,1,0.0,2.723085145104834,2.723085145104834,1.0000000434705805,1.0000000474263506,1.0000000474263506,31.373832188247327,136.15457366365436,tile,0.002
3,5,2,0.0,2.5145342650883675,2.5145342650883675,1.0,0.9999999719761933,1.0,31.486251601888547,125.72671325441827,tile,0.002
3,5,3,0.0,4.558757088453713,4.558757088453713,1.000000021029834,1.0,1.000000021029834,31.80325829191288,227.9380893041955,tile,0.002
4,1,0,1.516765672770721,2.012507173142808e-08,1.5167656928957929,1.000517253133984,1.000791719071993,1.000791719071993,40.09221175621168,78.89911543291929,tile,0.002
4,1,1,0.3128164780194226,2.9566523608734625e-06,0.31281943467178347,1.0002215572969673,1.0004053927038334,1.0004053927038334,35.02389051613916,15.95796461225942,tile,0.002
4,1,2,0.9001026995097805,1.0106780601108654e-07,0.9001028005775865,1.000831816596155,1.0004063654746016,1.000831816596155,37.456970662081815,46.91744895050731,tile,0.002
4,1,3,0.53963630319487,1.0878285359559405e-06,0.5396373910234059,1.0000179538590706,1.0035566179617934,1.0035566179617934,39.20361549442693,32.67655215505325,tile,0.002
5,2,0,0.11812950379409486,9.916919937792748e-05,0.11822867299347278,1.0021421585875472,1.0005175945419227,1.0021421585875472,39.16298191916847,6.604701202198824,tile,0.002
5,2,1,0.012460575811883408,0.0007407187665455797,0.013201294578428988,1.000563751901556,1.0018898322196752,1.0018898322196752,33.50060700943627,0.7274256368085138,tile,0.002
5,2,2,0.06563923761738785,9.529318362385651e-06,0.06564876693575024,1.0031242024872373,1.0014384768461457,1.0031242024872373,43.50319050037568,3.8757631164345834,tile,0.002
5,2,3,0.019416144112674887,0.00022928066701491913,0.019645424779689807,1.000075052238016,0.999798010286858,1.000075052238016,30.623811626951728,0.9858969337798213,tile,0.002
6,5,0,0.0009458914699701256,0.39215588221951664,0.3931017736894868,1.0000000028233764,1.0000000019115642,1.0000000028233764,45.932814622121384,19.655091403666713,tile,0.002
6,5,1,0.0011259819063504737,0.0020044659893840764,0.00313044789573455,1.0000000434705805,1.0000000474263506,1.0000000474263506,44.9037911034665,0.1565227585285853,tile,0.002
6,5,2,0.0009072630174631982,0.00832677979707271,0.009234042814535907,1.0,0.9999999719761933,1.0,29.560499676069924,0.46170214072679494,tile,0.002
6,5,3,1.991324055715247e-05,0.0798672949148478,0.07988720815540495,1.000000021029834,1.0,1.000000021029834,43.7861181483529,3.9943645238105865,tile,0.002
7,5,0,3.997344062942605e-10,1.987416970871147,1.9874169712708816,1.0000000028233764,1.0000000019115642,1.0000000028233764,48.64873290867576,99.37086231105027,tile,0.002
7,5,1,2.6160851627852546e-06,0.37463544832809786,0.37463806441326064,1.0000000434705805,1.0000000474263506,1.0000000474263506,36.93178922316946,18.731946751668847,tile,0.002
7,5,2,1.8965490741801668e-06,0.5874850279335908,0.587486924482665,1.0,0.9999999719761933,1.0,39.23768771856429,29.374346224133227,tile,0.002
7,5,3,3.814692679765822e-08,1.1968711726090753,1.196871210756002,1.000000021029834,1.0,1.000000021029834,40.47060558905426,59.84362220437097,tile,0.002
