Tile,Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_empirical,Lq_theoretical,lr_source,stochasticity
0,3,0,9.12351038373613,0.0,9.12351038373613,1.001888764676144,1.0000931796567922,1.001888764676144,78.2987585907399,502.7001513239398,tile,0.002
0,3,1,5.642710254048186,0.0,5.642710254048186,0.9998658109804688,1.000887017443827,1.000887017443827,59.65106505613559,294.9554118814168,tile,0.002
0,3,2,9.174020071985309,0.0,9.174020071985309,1.00092714637964,1.0005695824812797,1.00092714637964,77.73221828739327,480.53163889516844,tile,0.002
0,3,3,5.629946315828287,0.0,5.629946315828287,1.000432835615176,1.0003419319415192,1.000432835615176,57.93359100734082,287.5969435915192,tile,0.002
1,3,0,0.8229244784689314,0.002375705689577821,0.8253001841585091,1.001888764676144,1.0000931796567922,1.001888764676144,59.58443170203742,45.47356335602292,tile,0.002
1,3,1,0.5648266919741681,0.0006365574001628878,0.565463249374331,0.9998658109804688,1.000887017443827,1.000887017443827,68.71543179172991,29.55786104795198,tile,0.002
1,3,2,1.7236984050641528,5.097055440918762e-05,1.723749375618562,1.00092714637964,1.0005695824812797,1.00092714637964,84.17950537113035,90.28932856163445,tile,0.002
1,3,3,0.3086068634748642,0.008473672061016438,0.31708053553588067,1.000432835615176,1.0003419319415192,1.000432835615176,57.61757170712792,16.197559936957436,tile,0.002
2,4,0,0.002510696508035842,0.5820946111099715,0.5846053076180073,1.0034894308823346,1.0012331573921378,1.0034894308823346,61.5859324533332,35.25890797717459,tile,0.002
2,4,1,0.000641826199032072,0.6948058870042249,0.6954477132032569,0.9997260925841787,1.000495961453847,1.000495961453847,69.17895310618496,35.63847586500476,tile,0.002
2,4,2,0.011694632774717075,0.3621325816436967,0.37382721441841377,1.0017025626266831,0.9998927151458504,1.0017025626266831,63.73764399956122,20.392627246390305,tile,0.002
2,4,3,9.187626720311178e-05,2.2430920179468496,2.2431838942140527,1.0001176469575108,1.0005796618801828,1.0005796618801828,70.83443205301401,115.43803098899863,tile,0.002
3,4,0,0.0,8.93330851509154,8.93330851509154,1.0034894308823346,1.0012331573921378,1.0034894308823346,67.88141500289089,538.7886472476847,tile,0.002
3,4,1,0.0,5.523336529343463,5.523336529343463,0.9997260925841787,1.000495961453847,1.000495961453847,46.762431653708624,283.04542794258236,tile,0.002
3,4,2,0.0,5.174121408424717,5.174121408424717,1.0017025626266831,0.9998927151458504,1.0017025626266831,51.536892360209464,282.25320452853555,tile,0.002
3,4,3,0.0,9.225740730177383,9.225740730177383,1.0001176469575108,1.0005796618801828,1.0005796618801828,66.03026360587438,474.7721963650375,tile,0.002
4,3,0,3.7816317247296007,0.0,3.7816317247296007,1.001888764676144,1.0000931796567922,1.001888764676144,89.91444061702151,208.36572331433027,tile,0.002
4,3,1,0.747214171721031,2.8376671784671807e-06,0.7472170093882095,0.9998658109804688,1.000887017443827,1.000887017443827,64.9074985424322,39.05848268760279,tile,0.002
4,3,2,2.7867755522258437,0.0,2.7867755522258437,1.00092714637964,1.0005695824812797,1.00092714637964,86.60123609683933,145.97023037189373,tile,0.002
4,3,3,1.1294218519542472,1.575049548438669e-06,1.1294234270037955,1.000432835615176,1.0003419319415192,1.000432835615176,68.99458491425831,57.694817571126876,tile,0.002
5,3,0,0.13577934097230365,0.0008396865646204477,0.1366190275369241,1.001888764676144,1.0000931796567922,1.001888764676144,69.60218736574885,7.527629489957026,tile,0.002
5,3,1,0.03859085107320806,0.0024576423895992473,0.041048493462807305,0.9998658109804688,1.000887017443827,1.000887017443827,70.81064088482503,2.145684387701432,tile,0.002
5,3,2,0.33704527158793396,3.13905091619335e-05,0.3370766620970959,1.00092714637964,1.0005695824812797,1.00092714637964,65.32115853878229,17.65594576857928,tile,0.002
5,3,3,0.03845475962694275,0.0014850041072491515,0.039939763734191905,1.000432835615176,1.0003419319415192,1.000432835615176,63.565035472129566,2.040259948026,tile,0.002
6,4,0,0.0017231611200704022,0.4535684009592632,0.45529156207933363,1.0034894308823346,1.0012331573921378,1.0034894308823346,86.30746751703055,27.459694739255937,tile,0.002
6,4,1,0.0007582376132116439,0.01857380609781928,0.019332043711030922,0.9997260925841787,1.000495961453847,1.000495961453847,57.78705379252506,0.9906777463447212,tile,0.002
6,4,2,0.004719745609920584,0.037406942055889715,0.0421266876658103,1.0017025626266831,0.9998927151458504,1.0017025626266831,85.93166970714049,2.2980505580111177,tile,0.002
6,4,3,5.575316170448798e-05,0.3065092893436964,0.3065650425054009,1.0001176469575108,1.0005796618801828,1.0005796618801828,68.02611901755989,15.776354746556137,tile,0.002
7,4,0,0.0,4.528912799788007,4.528912799788007,1.0034894308823346,1.0012331573921378,1.0034894308823346,94.61318022956448,273.1492813416509,tile,0.002
7,4,1,1.7588861986859331e-06,0.9149863621203909,0.9149881210065895,0.9997260925841787,1.000495961453847,1.000495961453847,66.01744234459824,46.888905446337844,tile,0.002
7,4,2,2.763112140951126e-06,1.241729480620563,1.2417322437327039,1.0017025626266831,0.9998927151458504,1.0017025626266831,70.37070458455028,67.7376654496923,tile,0.002
7,4,3,0.0,3.3456790640099032,3.3456790640099032,1.0001176469575108,1.0005796618801828,1.0005796618801828,80.16324620892213,172.17429407665173,tile,0.002
8,2,0,0.010466472146979879,0.000674990759305101,0.01114146290628498,1.0002492218771415,1.0004351132172595,1.0004351132172595,36.898232689613984,0.5692089927648609,tile,0.002
8,2,1,0.008411546323341677,0.007995245612687489,0.016406791936029168,1.0004000332088727,1.0007067518099158,1.0007067518099158,36.858229218701695,0.8497677672702479,tile,0.002
8,2,2,0.0023295914588792725,0.0012101739904184022,0.003539765449297675,1.000069136002286,1.0003682002348793,1.0003682002348793,30.784040369927766,0.1802401309335595,tile,0.002
8,2,3,0.01058765239161124,0.004719314171483807,0.015306966563095046,0.9993141655892636,1.0006533932143635,1.0006533932143635,37.53732315671252,0.7906623866303124,tile,0.002
9,2,0,0.21074195137845061,0.19828652208569475,0.4090284734641454,1.0002492218771415,1.0004351132172595,1.0004351132172595,71.47534852582513,20.896958267602173,tile,0.002
