Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_theoretical,stochasticity
1,0,0.4079846216728538,0.3112116446852215,0.7191962663580753,1.000057472235507,0.9999302185516139,1.000057472235507,72.33117302264195,0.00024
1,1,0.8840468591669575,1.2511530159235624,2.13519987509052,0.9985353309213014,0.9999522889140524,0.9999522889140524,212.51618907101198,0.00024
1,2,0.6479862272827444,0.7515681792648623,1.3995544065476067,1.0000201382233564,1.0000155306496326,1.0000201382233564,140.2350249960817,0.00024
1,3,0.3187409195813935,0.32839500480460904,0.6471359243860025,1.0000174056584858,1.0000648621753825,1.0000648621753825,65.13182704549178,0.00024
2,0,0.2752978673343663,0.3550764372534557,0.6303743045878221,0.9999715434450692,1.0000467385725467,1.0000467385725467,63.33046805064678,0.00024
2,1,1.0105809702423747,1.234745941131415,2.2453269113737897,0.999519149569247,0.9992850950106753,0.999519149569247,214.32969886324534,0.00024
2,2,0.24597167634536235,0.5152631186716081,0.7612347950169704,0.9998699445909255,0.9996310965307379,0.9998699445909255,75.1558119350091,0.00024
2,3,0.6182615024546149,0.8232647608448364,1.4415262632994512,0.9999471171628694,1.0000056445442917,1.0000056445442917,144.23322528196175,0.00024
3,0,2.6977272036481534,0.00024799279249780376,2.6979751964406513,1.0000339987358073,0.9999658672183781,1.0000339987358073,270.7086912181398,0.00024
3,1,0.6096154701879672,0.0002476708656062478,0.6098631410535735,1.0000500129847212,1.0000067338195098,1.0000500129847212,61.28977729018001,0.00024
3,2,1.7183879312514532,3.5666041758292307e-06,1.718391497855629,0.9999965717191776,0.9997610086664669,0.9999965717191776,171.7808474000676,0.00024
3,3,0.714847389002515,0.0016861908791601014,0.7165335798816751,1.000000674300911,1.000122138659373,1.000122138659373,72.53037550817817,0.00024
4,0,0.0004016276175366275,1.6033821759136064,1.6037838035311431,0.9999099077212501,0.9999862253581177,0.9999862253581177,160.15997187372594,0.00024
4,1,0.00017471261827280656,0.34210070696733,0.3422754195856028,1.0000532631185621,1.000013889625011,1.0000532631185621,34.408982198707065,0.00024
4,2,0.002765435673532825,0.4285911085168385,0.43135654419037134,1.0000713956777074,1.0000250045537533,1.0000713956777074,43.44271500488043,0.00024
4,3,6.201955059049497e-06,1.6369613253422457,1.6369675272973048,0.9998651264467489,1.000022069619363,1.000022069619363,164.05519566629332,0.00024
