Tile,Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_empirical,Lq_theoretical,lr_source,stochasticity
0,3,0,8.372029925490077,0.0,8.372029925490077,1.0080860468372745,1.0006659007723155,1.0080860468372745,56.941597465771125,693.2971076005482,tile,0.002
0,3,1,5.265492731748505,0.0,5.265492731748505,1.0020839806000414,1.0005174102082355,1.0020839806000414,49.38130280735127,293.2164487355426,tile,0.002
0,3,2,8.410723908927135,0.0,8.410723908927135,1.007038482146801,0.9994888002138584,1.007038482146801,60.818498895715265,641.927900865266,tile,0.002
0,3,3,5.362622693315368,0.0,5.362622693315368,1.0020837095041517,1.0000714744078791,1.0020837095041517,49.61251590818913,298.6208508092544,tile,0.002
1,5,0,1.122328707445682,0.0018522023996386705,1.1241809098453206,1.00000000245079,1.0000000001764264,1.00000000245079,69.92433600537898,56.20905224233862,tile,0.002
1,5,1,0.7365912248647675,0.0005170843635475955,0.737108309228315,1.000000025137709,1.0000000296363651,1.0000000296363651,75.60286494614755,36.855468982260376,tile,0.002
1,5,2,2.4927631988354944,3.861346053826178e-05,2.4928018122960327,1.0,0.9999999715183179,1.0,92.77762927705695,124.64009061480152,tile,0.002
1,5,3,0.4723254196264205,0.008525604144747633,0.4808510237711681,1.0000000156157145,1.0,1.0000000156157145,66.57243144335825,24.04256958521161,tile,0.002
2,1,0,0.003902757762244546,0.9821932512068235,0.9860960089690681,1.0011612451331424,0.9999272192189486,1.0011612451331424,67.95589941602131,52.27956031224925,tile,0.002
2,1,1,0.000606411853769878,0.680579828253819,0.6811862401075889,1.0007423515577731,1.0006728099606796,1.0007423515577731,71.83816388588626,35.344994167900474,tile,0.002
2,1,2,0.012571732657596863,0.4022507060477976,0.4148224387053945,1.0006336702118626,1.0001191725051004,1.0006336702118626,65.43703164102463,21.405767602567874,tile,0.002
2,1,3,7.833260133812003e-05,2.3974942447988927,2.397572577400231,1.0000299375600816,1.002754310723386,1.002754310723386,83.09898068243098,138.58179817639677,tile,0.002
