Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_theoretical,stochasticity
1,0,0.35827117955641336,0.17747484372548628,0.5357460232818996,1.0,1.0,1.0,17.858200776063303,0.01
1,1,1.0774446506086715,1.2243214678309902,2.3017661184396614,1.0,1.0,1.0,76.72553728132198,0.01
1,2,0.8099619609663007,0.6966463589251699,1.5066083198914706,1.0,1.0,1.0,50.22027732971564,0.01
1,3,0.3277758000175568,0.21713533702854557,0.5449111370461024,1.0,1.0,1.0,18.163704568203396,0.01
2,0,0.3342708667873111,0.43161651124333794,0.765887378030649,1.0,1.0,1.0,25.529579267688277,0.01
2,1,1.102795886754156,1.1592210907091067,2.262016977463263,1.0,1.0,1.0,75.40056591544203,0.01
2,2,0.38617861039753326,0.49157161074946,0.8777502211469932,0.9999999916070847,0.9999999915959249,0.9999999916070847,29.2583327650389,0.01
2,3,0.7454335555994327,1.068525115863736,1.8139586714631688,1.000000004590077,1.0000000055420248,1.0000000055420248,60.46529988367843,0.01
3,0,2.782784955251575,5.5403082329865464e-05,2.782840358333905,1.024143312372356,1.009404920379452,1.024143312372356,422.86063759662767,0.01
3,1,0.5415028510105762,0.0001466062097566374,0.5416494572203328,1.006324056720929,1.0056312823090523,1.006324056720929,22.695762203080733,0.01
3,2,1.34226302528189,3.3211798611194483e-06,1.342266346461751,1.0123232046005708,1.0104810826571844,1.0123232046005708,74.37824375317277,0.01
3,3,0.6541944485250598,0.0006481429085029761,0.6548425914335628,1.0081892142358266,1.004566318784727,1.0081892142358266,29.689375646716233,0.01
4,0,0.0004529979632263989,2.2221517368058152,2.2226047347690416,1.0258223512447415,1.0160034685264476,1.0258223512447415,448.8007746370123,0.01
4,1,0.00026220043497569015,0.3340768922044845,0.3343390926394602,1.0083611314308456,1.0043562902215024,1.0083611314308456,15.273807054022594,0.01
4,2,0.0016985930127958787,0.3794787322667876,0.3811773252795835,1.0129488816465932,1.0045819874813762,1.0129488816465932,21.857018363091022,0.01
4,3,1.0511747214188018e-05,1.2751573311011233,1.2751678428483375,1.0041541460288408,1.0114826572230426,1.0114826572230426,67.60575990351543,0.01
