Tile,Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_empirical,Lq_theoretical,lr_source,stochasticity
0,3,0,4.438425222338316,0.0,4.438425222338316,1.0010595545231882,1.0001177479105245,1.0010595545231882,34.41596596900747,234.07395277252886,tile,0.002
0,3,1,2.68417558981852,0.0,2.68417558981852,1.000486792374669,1.0008863755127269,1.0008863755127269,28.334104717345998,140.3024517120061,tile,0.002
0,3,2,4.430865968039652,0.0,4.430865968039652,1.0007278881850867,1.0002818505306326,1.0007278881850867,38.479972107629635,229.73722601400178,tile,0.002
0,3,3,2.777952967505747,0.0,2.777952967505747,1.0002159713597574,1.0002131484141976,1.0002159713597574,30.71772555147418,140.38326787251822,tile,0.002
1,3,0,0.8253337817450345,0.0010933155236986674,0.8264270972687331,1.0010595545231882,1.0001177479105245,1.0010595545231882,38.6476978978203,43.584165023761734,tile,0.002
1,3,1,0.38018136636568006,0.00032838638947630495,0.38050975275515636,1.000486792374669,1.0008863755127269,1.0008863755127269,41.06556297492216,19.889328930037404,tile,0.002
1,3,2,0.9519948965640844,3.8957411576100654e-05,0.9520338539756605,1.0007278881850867,1.0002818505306326,1.0007278881850867,48.43136047852235,49.362273257964226,tile,0.002
1,3,3,0.16220661319327495,0.00401723566796949,0.16622384886124444,1.0002159713597574,1.0002131484141976,1.0002159713597574,32.4518581239746,8.400087177300557,tile,0.002
2,4,0,0.0011026331053719004,0.3294657602542643,0.33056839335963617,1.003433473945157,1.0009203643322877,1.003433473945157,35.507463803288815,19.871626557622548,tile,0.002
2,4,1,0.0002725495800505036,0.3380024486789907,0.3382749982590412,1.0005817760158784,1.0005086896725761,1.0005817760158784,38.96755972857599,17.410058893207868,tile,0.002
2,4,2,0.006613913049213215,0.17911682052086017,0.1857307335700734,1.0014861364766772,1.0000768536048763,1.0014861364766772,37.478506477376854,10.015901511039402,tile,0.002
2,4,3,4.982144839737094e-05,1.2231604945104206,1.223210315958818,1.000607443669078,1.0006726686132288,1.0006726686132288,44.95516402793389,63.24512325630163,tile,0.002
3,4,0,0.0,4.579655376035587,4.579655376035587,1.003433473945157,1.0009203643322877,1.003433473945157,37.91076881526354,275.2991611517442,tile,0.002
3,4,1,0.0,2.7876167587629617,2.7876167587629617,1.0005817760158784,1.0005086896725761,1.0005817760158784,32.934364634500476,143.47076252023672,tile,0.002
3,4,2,0.0,2.650887528641027,2.650887528641027,1.0014861364766772,1.0000768536048763,1.0014861364766772,32.61907189707276,142.954415208261,tile,0.002
3,4,3,0.0,4.550882566661817,4.550882566661817,1.000607443669078,1.0006726686132288,1.0006726686132288,34.77959374664479,235.29978867769054,tile,0.002
4,3,0,1.8919865482436578,0.0,1.8919865482436578,1.0010595545231882,1.0001177479105245,1.0010595545231882,48.49912161482453,99.77970738606457,tile,0.002
4,3,1,0.3925395313398003,9.135090275651826e-07,0.3925404448488279,1.000486792374669,1.0008863755127269,1.0008863755127269,36.94780973200898,20.518175866481112,tile,0.002
