Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_theoretical,stochasticity
1,0,0.19280068797552427,0.3270471316300891,0.5198478196056133,1.0000915379565047,0.9999909419154125,1.0000915379565047,52.460189718464584,0.00032
1,1,0.7252445433774607,1.1118896475676925,1.8371341909451533,0.997926982285644,0.9996736400011068,0.9996736400011068,177.96348304372634,0.00032
1,2,0.4023028557703594,0.6789545194263468,1.081257375196706,1.0001021159238028,0.9999176059504049,1.0001021159238028,109.22999558841263,0.00032
1,3,0.16767312943471196,0.32457768089242794,0.4922508103271399,0.9997297982105312,0.9998324182575212,0.9998324182575212,48.42173574653923,0.00032
2,0,0.12089728300005242,0.4836006469183244,0.6044979299183768,0.9998755462896551,0.9998775358899653,0.9998775358899653,59.72568199515398,0.00032
2,1,0.7000791642676945,0.9656465566423507,1.6657257209100451,0.9989541854965515,0.9983280336057927,0.9989541854965515,150.94444318873275,0.00032
2,2,0.1472816418226973,0.31065361449017564,0.4579352563128729,0.9993850946244817,0.999663605808387,0.999663605808387,44.31761499259191,0.00032
2,3,0.4084978946721705,0.7811969900709018,1.1896948847430724,0.9999668066584021,0.9999739262722236,0.9999739262722236,118.66318331197009,0.00032
3,0,3.04421185778557,0.00033720531464606754,3.044549063100216,1.0000401474205443,0.9998807167155231,1.0000401474205443,305.66981993607897,0.00032
3,1,0.6953833886453522,0.00016807108006907054,0.6955514597254213,0.9999796867754807,0.9999953207365226,0.9999953207365226,69.52293967344922,0.00032
3,2,1.5172322086947079,4.028713880636677e-06,1.5172362374085886,1.0000173043902632,0.9995380869280208,1.0000173043902632,151.98399278302048,0.00032
3,3,0.7549385368705358,0.0019648879817954594,0.7569034248523313,1.0000086721701162,1.0000736066639442,1.0000736066639442,76.24595128646452,0.00032
4,0,0.0004528817953273109,1.8590845978226,1.8595374796179274,1.000011053152967,1.0000018903715349,1.000011053152967,186.15745301539854,0.00032
4,1,0.0001714921649571469,0.42782758174937213,0.4279990739143293,1.000023889624092,0.9999555650882296,1.000023889624092,42.90137225940772,0.00032
4,2,0.002148085203533881,0.41248694435249367,0.41463502955602755,1.0001962908290332,0.9999767489847328,1.0001962908290332,42.285222900033695,0.00032
4,3,1.4336295031990578e-05,1.4036524687774081,1.4036668050724401,0.9997890939218238,1.000018184531444,1.000018184531444,140.61983398071766,0.00032
